"","dimension","num_classes","imbalance","best_linkage","clusterability_max","clusterability_mean","clusterability_min","group"
"Abalone_equal",9,28,6.94110204081633e-07,"ward.D",0.3793,0.0928625,1e-04,1
"Abalone_original",9,28,0.00245028859591837,"average",0.2023,0.11661875,0.0233,1
"Absenteeism at work_equal",19,19,1.82557119113573e-06,"ward.D",0.5662,0.22856875,0.025,1
"Absenteeism at work_original",19,19,0.00637782696066482,"ward.D",0.2303,0.10120625,0.0093,1
"Acute Inflammations_original",6,2,3.81923999999999e-05,"ward.D2",0.5952,0.43445625,0.304,2
"adult_equal",103,4,1.85540000000001e-06,"ward.D",0.0756,0.0180625,0,3
"adult_original",103,4,0.0256605956,"ward.D",0.0675,0.0165625,0,3
"agaricus_lepiota_original",50,2,0.0003849444,"ward.D2",0.5639,0.13354375,1e-04,4
"AI4I 2020 Predictive Maintenance Dataset_equal",7,2,1.58403999999999e-05,"ward.D",0.0509,0.0238125,0,3
"AI4I 2020 Predictive Maintenance Dataset_original",7,2,0.2188742656,"single",0.1829,0.05560625,0.0032,5
"Algerian Forest Fires_equal",333,9,1.27974320987654e-06,"ward.D",0.6847,0.159375,0,6
"Algerian Forest Fires_original",333,9,0.038825747654321,"ward.D",0.9939,0.26359375,0.0176,6
"allbp_equal",28,3,9.56168888888887e-06,"ward.D",0.476,0.13170625,3e-04,4
"allbp_original",28,3,0.194842000088889,"mcquitty",0.2228,0.04684375,2e-04,5
"allhyper_equal",28,4,2.53260000000001e-06,"ward.D",0.68,0.1943875,4e-04,4
"allhyper_original",28,4,0.1745567108,"average",0.0452,0.0210375,0,5
"allhypo_equal",28,3,5.96062222222219e-06,"ward.D",0.1302,0.0349875,4e-04,3
"allrep_equal",28,4,3.38699999999999e-06,"ward.D",0.4806,0.105375,2e-04,4
"allrep_original",28,4,0.171566589,"ward.D2",0.0717,0.01424375,0,5
"analcatdata_asbestos_original",4,2,0.0030492484,"ward.D",0.4016,0.2152875,0.0011,4
"analcatdata_authorship_equal",90,4,3.52140000000002e-06,"ward.D2",0.9996,0.42559375,0,6
"analcatdata_authorship_original",90,4,0.0155340434,"ward.D",0.9996,0.40870625,0,6
"analcatdata_bankruptcy_original",6,2,4.83999999999991e-06,"ward.D",0.6418,0.1797375,0,4
"analcatdata_boxing1_original",4,2,0.0229340736,"average",0.1082,0.0501875,0.0015,3
"analcatdata_boxing2_original",3,2,0.0017505856,"mcquitty",0.07,0.0423625,0.0014,3
"analcatdata_creditscore_original",7,2,0.0535552164,"ward.D",0.2748,0.121975,0.0015,5
"analcatdata_cyyoung8092_equal",10,2,8.06559999999989e-06,"average",0.2633,0.15245625,0,4
"analcatdata_cyyoung8092_original",10,2,0.0647091844,"average",0.1665,0.10330625,0.0016,3
"analcatdata_cyyoung9302_equal",11,2,1.45924000000001e-05,"ward.D2",0.475,0.2797625,0,4
"analcatdata_cyyoung9302_original",11,2,0.0847042816,"ward.D",0.2938,0.15489375,4e-04,5
"analcatdata_dmft_original",11,6,0.000220012755555556,"ward.D",0.0652,0.02338125,2e-04,3
"analcatdata_fraud_original",12,2,0.0360772036,"ward.D",0.5249,0.1622875,0.001,5
"analcatdata_germangss_original",6,4,2.25200000000002e-07,"ward.D2",0.0661,0.02804375,1e-04,3
"analcatdata_japansolvent_original",9,2,0.0004866436,"ward.D",0.4347,0.13503125,3e-04,4
"analcatdata_lawsuit_equal",4,2,7.9524000000001e-06,"ward.D2",0.6552,0.31226875,1e-04,4
"analcatdata_lawsuit_original",4,2,0.1843671844,"complete",0.2638,0.101875,0.0044,5
"ann_thyroid_equal",21,3,1.76222222222225e-06,"ward.D2",0.4518,0.1107375,4e-04,4
"ann_thyroid_original",21,3,0.175821322755556,"complete",0.1947,0.0683875,0,5
"Annealing_equal",32,3,2.27139555555555e-05,"ward.D",0.786,0.20255625,1e-04,4
"Annealing_original",32,3,0.0851139118222222,"mcquitty",0.5093,0.2098,0,5
"Anuran Calls (Family)_equal",22,4,2.93580000000001e-06,"ward.D",0.6078,0.2226125,0,4
"Anuran Calls (Family)_original",22,4,0.055804421,"ward.D2",0.5236,0.21271875,0.0032,5
"Anuran Calls (Genus)_equal",22,8,3.6966e-06,"ward.D",0.7004,0.300025,0,6
"Anuran Calls (Genus)_original",22,8,0.0333421108,"ward.D2",0.5819,0.32069375,0.0177,6
"Anuran Calls (Species)_equal",22,10,2.00568e-06,"ward.D",0.7702,0.3451875,0,6
"Anuran Calls (Species)_original",22,10,0.01784795968,"average",0.8154,0.44998125,0.0168,6
"appendicitis_equal",7,2,4.6656000000001e-06,"ward.D2",0.4254,0.23970625,1e-04,4
"appendicitis_original",7,2,0.0917120656,"average",0.5753,0.2836375,6e-04,5
"Auction Verification_original",7,2,0.1394126244,"average",0.1073,0.03710625,0.0016,5
"Audiology (Standardized)_equal",284,24,8.56855555555556e-07,"ward.D",0.8085,0.1537875,1e-04,1
"Audiology (Standardized)_original",284,24,0.00407513678888889,"ward.D",0.9795,0.2278875,0.0091,1
"Autism Screening Adult_original",98,2,0.0522396736,"ward.D",0.9347,0.2342375,1e-04,6
"Autistic Spectrum Disorder Screening Data for Children  _original",82,2,0.0003944196,"ward.D",0.606,0.15285625,0,4
"auto_insurance_symboling_equal",26,6,7.67688888888881e-07,"ward.D",0.5056,0.2005125,0,4
"auto_insurance_symboling_original",26,6,0.0105561580888889,"ward.D2",0.3821,0.15120625,0.001,4
"backache_equal",33,2,6.24999999999987e-06,"ward.D2",0.3019,0.08676875,0,3
"backache_original",33,2,0.1302199396,"complete",0.1969,0.05554375,3e-04,5
"balance_scale_equal",17,3,5.64355555555536e-07,"ward.D2",0.0638,0.0206875,0,3
"balance_scale_original",17,3,0.0326721984888889,"ward.D",0.1202,0.03295,4e-04,3
"Balloons_original",4,2,0.0040985604,"ward.D",0.6131,0.19031875,0,4
"banana_original",2,2,0.0029354724,"ward.D",0.0845,0.04374375,1e-04,3
"Bank Marketing_equal",42,2,1.93599999999999e-05,"ward.D",0.0416,0.011525,0,3
"Bank Marketing_original",42,2,0.148225,"ward.D2",0.1085,0.0382,0.0033,5
"banknote_original",4,2,0.00285156,"ward.D2",0.2895,0.15670625,0,4
"biodeg_original",41,2,0.02608225,"ward.D",0.3117,0.06836875,0,4
"biomed_original",14,2,0.0205291584,"ward.D",0.4754,0.13539375,9e-04,4
"Blood Transfusion Service Center_equal",4,2,4.90000000000009e-07,"ward.D2",0.0958,0.03395,0,3
"Blood Transfusion Service Center_original",4,2,0.0678810916,"ward.D2",0.0846,0.03985,0.0074,3
"Breast Cancer Coimbra_original",9,2,0.0032126224,"ward.D",0.0984,0.0291,0,3
"Breast Cancer Wisconsin (Prognostic)_equal",33,2,1.58760000000003e-06,"ward.D2",0.0576,0.022375,0,3
"Breast Cancer Wisconsin (Prognostic)_original",33,2,0.0685811344,"ward.D",0.0628,0.01968125,0,3
"breast_cancer_original",17,2,0.0409900516,"ward.D2",0.1533,0.04551875,0,3
"breast_cancer_wisconsin_diagnostic_original",30,2,0.0160833124,"ward.D",0.7142,0.27654375,0.0012,4
"breast_cancer_wisconsin_original_original",81,2,0.0236175424,"ward.D2",0.9998,0.2988875,6e-04,6
"bupa_original",5,2,0.0002304324,"ward.D2",0.0482,0.02035,0,3
"calendarDOW_original",97,5,0.00232126016,"ward.D2",0.3784,0.10281875,6e-04,4
"car_evaluation_equal",16,4,5.23620000000001e-06,"ward.D",0.3672,0.1102375,0,4
"car_evaluation_original",16,4,0.0729071894,"mcquitty",0.0772,0.0252,0.0013,3
"Cardiotocography_equal",21,10,1.50952000000001e-06,"ward.D",0.5707,0.21238125,2e-04,6
"Cardiotocography_original",21,10,0.0059953984,"ward.D",0.4319,0.1521,0.0044,6
"cars_equal",7,3,1.55480888888889e-05,"average",0.2861,0.167075,1e-04,4
"cars_original",7,3,0.0428995640888889,"ward.D2",0.2655,0.13415625,0.0013,5
"Cervical Cancer Behavior Risk_original",19,2,0.0441168016,"ward.D2",0.4949,0.2086,0.001,5
"Chronic Kidney Disease_original",34,2,0.0123565456,"ward.D2",0.952,0.31863125,7e-04,6
"churn_equal",21,2,8.10000000000021e-07,"ward.D2",0.067,0.02246875,0,3
"churn_original",21,2,0.1254293056,"mcquitty",0.0851,0.02316875,0.0012,5
"Cirrhosis Patient Survival Prediction_equal",729,3,1.63958222222222e-05,"ward.D2",1,0.252425,0,6
"Cirrhosis Patient Survival Prediction_original",729,3,0.0397269531555556,"ward.D",0.9996,0.2630875,7e-04,6
"clean1_original",168,2,0.0039790864,"ward.D",0.0738,0.0232375,0,3
"clean2_equal",168,2,7.61759999999992e-06,"ward.D",0.1062,0.0567875,0,3
"clean2_original",168,2,0.1186664704,"complete",0.1192,0.03499375,0,5
"cloud_original",7,4,0.000972351,"ward.D2",0.0522,0.02330625,1e-04,3
"coil2000_equal",488,2,1.93599999999996e-07,"ward.D",0.6336,0.081,0,6
"collins_equal",22,13,7.12359763313605e-07,"ward.D",0.6203,0.249,0,6
"collins_original",22,13,0.00151259666745562,"ward.D",0.6146,0.2443875,5e-04,6
"confidence_original",3,6,1.6800888888889e-06,"ward.D",0.8407,0.67710625,0.4637,2
"congressional_voting_records_original",33,2,0.0136515856,"ward.D2",0.7161,0.16190625,4e-04,4
